PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
5328976,1795646,8034253.0,,0.733,496.4,,0.733,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,733.0,,,,,,,,,,,,,,,,,
5328977,1795646,8034254.0,,0.634,470.4,,0.634,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,634.0,,,,,,,,,,,,,,,,,
5328978,1795646,8034255.0,,0.414,456.3,,0.414,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,414.0,,,,,,,,,,,,,,,,,
5328979,1795646,8034256.0,,1.5919999999999999,549.5,,1.5919999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1592.0,,,,,,,,,,,,,,,,,
5328983,1795646,8034260.0,,8.832,413.3,,8.832,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,8832.0,,,,,,,,,,,,,,,,,
5328984,1795646,8034261.0,,5.042,438.3,,5.042,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,5042.0,,,,,,,,,,,,,,,,,
5328985,1795646,8034262.0,,0.45799999999999996,468.3,,0.45799999999999996,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,458.0,,,,,,,,,,,,,,,,,
5328987,1795646,8034264.0,,4.1819999999999995,454.3,,4.1819999999999995,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,4182.0,,,,,,,,,,,,,,,,,
5328989,1795646,8034266.0,,2.9210000000000003,496.4,,2.9210000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2921.0,,,,,,,,,,,,,,,,,
5329475,1795774,8035058.0,,0.2,492.0,,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,
5329476,1795774,8035059.0,,0.048,545.7,,0.048,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,
5329477,1795774,8035060.0,,0.027999999999999997,569.7,,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,
5329478,1795774,8035061.0,,0.55,613.7,,0.55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,550.0,,,,,,,,,,,,,,,,,
5329479,1795774,8035062.0,,0.013999999999999999,580.1,,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
5329480,1795774,8035063.0,,0.013999999999999999,598.1,,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
5329481,1795775,8035067.0,,0.263,343.4,,0.263,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,263.0,,,,,,,,,,,,,,,,,
5329482,1795775,8035068.0,,0.977,616.7,,0.977,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,977.0,,,,,,,,,,,,,,,,,
5329483,1795775,8035069.0,,0.095,520.6,,0.095,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,
5329484,1795775,8035070.0,,0.309,357.4,,0.309,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,309.0,,,,,,,,,,,,,,,,,
5329485,1795775,8035071.0,,0.34700000000000003,383.4,,0.34700000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,
5329486,1795775,8035072.0,,0.23399999999999999,506.6,,0.23399999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,,
5329487,1795775,8035073.0,,1.778,520.6,,1.778,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1778.0,,,,,,,,,,,,,,,,,
5329488,1795775,8035074.0,,0.11699999999999999,510.5,,0.11699999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,
5329489,1795775,8035075.0,,0.23399999999999999,438.5,,0.23399999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,,
5329490,1795775,8035076.0,,0.21,467.0,,0.21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,
5329491,1795775,8035077.0,,0.147,554.7,,0.147,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,
5329492,1795775,8035078.0,,0.01,573.1,,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
5329493,1795775,8035079.0,,0.019,562.7,,0.019,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
6914564,1804579,104065408.0,,0.205,465.4,,0.205,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,
9549213,1804579,104065404.0,,0.1,512.4,,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,
9915743,1798142,104048227.0,,0.0012,557.0,,0.0012,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,
9915743,1804976,104048227.0,,0.00196,557.0,,0.00196,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,
9915743,1919984,104048227.0,,0.0132,557.0,,0.0132,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,
9915743,1920044,104048227.0,,0.0132,557.0,,0.0132,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,
9985010,1797499,386053015.0,,0.525,549.9,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
9986023,1797499,386053063.0,,0.525,599.9,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10005056,1797499,386053048.0,,0.05,473.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10050178,1797499,386053121.0,,0.525,466.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10073317,1797499,386053167.0,,0.05,468.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10073562,1797499,386053014.0,,0.05,473.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10073622,1797499,386053010.0,,0.525,474.9,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10075455,1797499,386053082.0,,0.525,522.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10076584,1797499,386053060.0,,0.525,563.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10184653,1796911,104144352.0,,0.0737,485.9,,0.0737,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,73.7,,,,,,,,,,,,,,,,,
10184653,1798142,104144352.0,,0.0028,485.9,,0.0028,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,
10253661,1797499,386053049.0,,0.05,459.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10256639,1797499,386053009.0,,0.525,535.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10309835,1798859,57560483.0,,0.012,409.9,,0.012,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
10320305,1797499,386053176.0,,0.525,427.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10321951,1797499,386053050.0,,0.525,459.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10325018,1797499,386053051.0,,0.525,540.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10325099,1797499,386053131.0,,0.05,544.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
