PUBCHEM_CID,AID,PUBCHEM_SID,PUBCHEM_ACTIVITY_SCORE,PubChem Standard Value,MolecularWeight,Standard Value,IC50 (mm),Selectivity,Inhibition (%),Ki (mm),Kd (mm),Activity (%),Standard Units,Activity Comment,Data Validity Comment,pKd_min,pKd_max,pIC50_min,pIC50_max,Type,Action,Reference (PubMed ID),IC50,Enzyme Activity [1],Enzyme Activity [2],Average Enzyme Activity,Panel ID,Panel Target,%Inhibition,High Concentration (5 x IC50),Low Concentration (IC50 / 2),Qualifier,% Degradation,Kd Qualifier,Kd,qualifier,pKi,Activity Qualifier,EC50 Qualifier,EC50
10392528,1797499,386053053.0,,0.525,540.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10392846,1797499,386053013.0,,0.525,552.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10412767,1797499,386053055.0,,0.525,478.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10413710,1797499,386053045.0,,0.525,502.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10455540,1797499,386053174.0,,0.05,433.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10457243,1797499,386053123.0,,0.05,466.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10458325,1797499,386053008.0,,0.525,491.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10458326,1797499,386053011.0,,0.05,491.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
10460027,1797499,386053129.0,,0.525,544.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10480595,1797499,386053047.0,,0.525,487.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10480937,1797499,386053052.0,,0.525,496.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
10482693,1797499,386053057.0,,0.28750000000000003,550.8,,0.28750000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,287.5,,,,,,,,,,,,,,,,,
11260603,1798859,57560490.0,,0.052000000000000005,503.0,,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,
11273032,1798900,58097702.0,,0.068,566.0,,0.068,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,
11407809,1804579,104050833.0,,0.3325,432.3,,0.3325,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,332.5,,,,,,,,,,,,,,,,,
11420204,1798859,57560485.0,,0.013000000000000001,479.0,,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
11420697,1798859,57560486.0,,0.01,503.0,,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
11490270,1798900,58097703.0,,0.05,594.1,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
11496734,1800296,194690245.0,,0.08598,484.0,,0.08598,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,85.98,,,,,,,,,,,,,,,,,
11511120,1800296,194690240.0,,0.0167,469.9,,0.0167,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,
11539274,1804579,104065412.0,,0.21,432.2,,0.21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,
11554905,1800296,194690243.0,,0.21211,487.9,,0.21211,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,212.11,,,,,,,,,,,,,,,,,
11562562,1804579,104065403.0,,0.08,512.3,,0.08,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,
11605533,1800296,194690244.0,,0.24711999999999998,487.9,,0.24711999999999998,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,247.12,,,,,,,,,,,,,,,,,
11627094,1804579,104065410.0,,0.09,479.2,,0.09,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,
11661053,1804579,104065407.0,,0.3,387.8,,0.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,
11692115,1800296,194690241.0,,0.24439,519.9,,0.24439,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,244.39,,,,,,,,,,,,,,,,,
11721216,1800296,194690242.0,,0.08405,583.1,,0.08405,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,84.05,,,,,,,,,,,,,,,,,
11755547,1797499,386053074.0,,0.05,496.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
24180536,1798858,57560475.0,,0.664,543.1,,0.664,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,664.0,,,,,,,,,,,,,,,,,
24821094,1801874,136961336.0,,0.0094,440.5,,0.0094,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,
25127385,1806610,471698515.0,,0.0088,463.3,,0.0088,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,8.799999999999997,,,,,,,,,,,,,,,,,
25127713,1798142,433935512.0,,0.0008,491.3,,0.0008,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,
25128361,1806610,471698527.0,,0.013833333333333336,473.3,,0.013833333333333336,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13.833333333333336,,,,,,,,,,,,,,,,,
25218685,1798858,57560473.0,,0.18600000000000005,508.6,,0.18600000000000005,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,186.0,,,,,,,,,,,,,,,,,
25218686,1798858,57560474.0,,0.25,514.6,,0.25,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,
25218687,1798858,57560476.0,,0.053,538.6,,0.053,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,
25218688,1798858,57560477.0,,0.044000000000000004,537.7,,0.044000000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
25218689,1798858,57560478.0,,0.059000000000000004,579.7,,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,
25218693,1798858,57560482.0,,0.013000000000000001,591.7,,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
25218694,1798859,57560484.0,,0.027000000000000003,452.9,,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,
25218695,1798859,57560487.0,,0.019,409.9,,0.019,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
25218696,1798859,57560488.0,,0.044000000000000004,452.9,,0.044000000000000004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
25218697,1798859,57560489.0,,0.054000000000000006,479.0,,0.054000000000000006,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,
25263246,1798897,58097678.0,,0.03,591.1,,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
25263247,1798897,58097679.0,,0.06,597.1,,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
25263248,1798897,58097680.0,,0.45,574.6,,0.45,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,450.0,,,,,,,,,,,,,,,,,
25263249,1798897,58097681.0,,0.26,592.7,,0.26,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,
25263250,1798897,58097682.0,,0.06,577.1,,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
25263251,1798897,58097683.0,,0.37,581.0,,0.37,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,370.0,,,,,,,,,,,,,,,,,
25263253,1798897,58097685.0,,0.087,555.6,,0.087,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,
25263254,1798897,58097686.0,,0.06,539.6,,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
25263255,1798897,58097687.0,,0.22,558.7,,0.22,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,
25263257,1798897,58097689.0,,0.05,579.7,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
25263258,1798897,58097690.0,,0.03,597.7,,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
25263263,1798897,58097695.0,,0.06,578.7,,0.06,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
25263265,1798897,58097697.0,,0.18,585.7,,0.18,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,
25263266,1798897,58097698.0,,0.21,596.7,,0.21,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,
25263267,1798900,58097699.0,,0.016,538.0,,0.016,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
25263268,1798900,58097700.0,,0.02,552.0,,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
25263269,1798900,58097704.0,,0.032,580.1,,0.032,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,
25263270,1798900,58097705.0,,0.032,592.1,,0.032,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,
25263273,1798900,58097708.0,,0.032,566.0,,0.032,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,
25263274,1798900,58097709.0,,0.04,566.0,,0.04,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,
25263276,1798900,58097711.0,,0.063,566.0,,0.063,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,
25263277,1798900,58097712.0,,0.063,566.0,,0.063,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,
25263279,1798900,58097714.0,,0.02,566.0,,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
25263280,1798900,58097715.0,,0.063,566.0,,0.063,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,
51039094,1804976,441610621.0,,0.002,480.5,,0.002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
53630924,1797499,386053042.0,,0.525,506.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802553,1797499,386053227.0,,0.525,543.8,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802554,1797499,386053023.0,,0.525,492.9,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802559,1797499,386053228.0,,0.525,513.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802563,1797499,386053246.0,,0.525,544.5,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802582,1797499,386053066.0,,0.525,475.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802594,1797499,386053273.0,,0.525,477.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802595,1797499,386053231.0,,0.525,524.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802611,1797499,386045973.0,,0.525,530.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802612,1797499,386053040.0,,0.525,520.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802616,1797499,386053263.0,,0.525,507.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802617,1797499,386053022.0,,0.05,553.8,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
57802623,1797499,386053245.0,,0.525,477.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802631,1797499,386053240.0,,0.05,579.8,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
57802646,1797499,386053236.0,,0.525,584.1,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802647,1797499,386053202.0,,0.05,578.5,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
57802649,1797499,386053026.0,,0.525,570.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802655,1797499,386053270.0,,0.525,545.5,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802663,1797499,386053244.0,,0.525,476.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802666,1797499,386053241.0,,0.05,447.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
57802673,1797499,386053250.0,,0.525,463.3,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
57802678,1797499,386053067.0,,0.05,475.4,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
57802679,1797499,386053220.0,,0.05,502.3,,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
57802698,1797499,386053046.0,,0.525,493.4,,0.525,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,
